
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 11601401             |  1 | A4813330 |      5    | PH | _______ | Putaway   | 11/11 14:23 | SM563499 | 02166900  WASHER CPR 20G 1/4X9/16 PKT35           
RECEIVE              | 11632801             |  1 | A4812748 |    100    | EA | _______ | Putaway   | 11/11 08:15 | SM563724 | 02095000  NUT NYLON INSERT LOCK ZP UNC 9/16       
RECEIVE              | 11673105             |  1 | A4812674 |     20    | EA | _______ | Putaway   | 11/11 07:29 | SM563783 | 08789802  CIRCLIP INTERNAL  30MM 1 3/16"          
RECEIVE              | 11723401             |  1 | A4813329 |      2    | EA | _______ | Putaway   | 11/11 14:23 | SM563499 | 01162109  BOLT&NUT HT MASTERKIT CL8.8 4-12MM CA431
RECEIVE              | 12054902             |  1 | A4813031 |      9    | EA | _______ | Putaway   | 11/11 10:41 | SM562787 | 06141811  WRENCH HEX MET L/S (26)8L SET(1.5 -10MM)
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   3
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RECEIVE              | 12063505             |  1 | A4813075 |      2    | EA | _______ | Putaway   | 11/11 10:57 | SM561848 | 03026900  UNION DOUBLE INT COMP BRASS Z4 1/4" TUBE
RECEIVE              | 12083903             |  1 | A4812993 |      1    | EA | _______ | Putaway   | 11/11 10:03 | SM563620 | 01080221  CARRIAGE 4 WHEEL NYLON ELTRAK EG14LP    
RECEIVE              | 12091401             |  1 | A4813253 |      2    | KT | _______ | Putaway   | 11/11 13:33 | SM559394 | 04160007  CLAMP HOSE MAINT KIT JBS Z/ALUME 135 PC 
