J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306183443902 | 04    | 028601       | ONESTEEL MARKET MILLS               | 25/06/13 08:46 | 989728   | Nothing Picked | 01571947   | C2         | CONS | A4724378  |         8 |         0
306183455603 | 40    | BT4004       | BAKERS CONSTRUCTION - BLACKTOWN     | 25/06/13 10:00 | 990262   | Nothing Picked | 04904607   | PICKRECV   | RECV | A4724690  |        12 |         0
306183504001 | 07    | 078300       | NSW HEALTH PATHOLOGY                | 25/06/13 12:41 | 991106   | Nothing Picked | 01615841   | CROSSDOC   | CRSS | A4720135  |         1 |         0
306183531600 | 10    | 632454       | MARTOGG ENGINEERING SERVICES        | 25/06/13 13:28 | 991381   | Nothing Picked | 00521288   | 48620301   | 04A  | A4706761  |         2 |        44
306183531600 | 10    | 632454       | MARTOGG ENGINEERING SERVICES        | 25/06/13 13:28 | 991382   | Nothing Picked | 00794920   | 41270501   | 35   | A4544519  |         2 |       199
306193550902 | 99    | BT5535       | J BLACKWOOD & SON LTD - WAGGA       | 25/06/13 13:05 |      0   | Nothing Picked | 06739300   |            |      |           |       288 |         0
306193570600 | 21    | 052481       | SOUTH EASTERN SYDNEY LOCAL HEALTH D | 25/06/13 12:26 | 991052   | Nothing Picked | 04215419   | 37520401   | 04A  | A4702381  |         6 |       411
306193602102 | 12    | 066052       | VINIDEX PTY LTD  FITTING DIV        | 25/06/13 07:15 | 989525   | Nothing Picked | 00744357   | PICKRECV   | RECV | A4724316  |         1 |         0
306193605901 | 05    | 880144       | GRANVILLE COLLEGE OF TAFE           | 25/06/13 09:52 | 990206   | Nothing Picked | 06965204   | PICKRECV   | RECV | A4724646  |         6 |         0
306193606702 | 12    | 095395       | MARUBENI POWER DEVELOPMENT AUSTRALI | 25/06/13 12:05 | 990956   | Nothing Picked | 02080739   | 19182801   | 19   | A4313835  |         2 |         0
306193620002 | 11    | 106094       | ROCKET INDUSTRIES PTY LTD           | 25/06/13 10:04 |      0   | Nothing Picked | 05686704   |            |      |           |         5 |         0
306193620002 | 11    | 106094       | ROCKET INDUSTRIES PTY LTD           | 25/06/13 10:04 | 990299   | Nothing Picked | 05695504   | 15521802   | 15   | A4580580  |         3 |         2
306193623401 | 10    | 118541       | VISYPET PTY LTD - PRESTONS          | 25/06/13 12:57 | 991243   | Nothing Picked | 01893902   | PICKRECV   | RECV | A4724953  |       100 |         0
306193625601 | 02    | 257015       | ROYAL WOLF TRADING.                 | 25/06/13 11:05 | 990702   | Nothing Picked | 09837216   | 16610501   | 16   | A4723923  |        32 |        20
306193629101 | 16    | 880012       | A N S T O (PURCHASE ORDERS)         | 25/06/13 09:41 |      0   | Nothing Picked | 01857445   |            |      | A4722276  |         1 |         0
306193629101 | 16    | 880012       | A N S T O (PURCHASE ORDERS)         | 25/06/13 09:41 | 990074   | Nothing Picked | 08203561   | CROSSDOC   | CRSS | A4722277  |         1 |         0J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   3
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306203660501 | 26    | 028463       | SYDNEY CRICKET & SPORTS GROUND      | 25/06/13 11:04 | 990686   | Nothing Picked | 00879792   | C2         | CONS | A4724826  |         1 |         0
306203674803 | 04    | 052538       | WESTERN SYDNEY LOCAL HEALTH DISTRIC | 25/06/13 13:53 | 991454   | Nothing Picked | 04252065   | PICKRECV   | RECV | A4725049  |         1 |         0
306203676404 | 21    | 880242       | NSW DEPARTMENT OF COMMERCE          | 25/06/13 10:09 | 990393   | Nothing Picked | 07717140   | CROSSDOC   | CRSS | A4722295  |        12 |         0
306203682002 | 23    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 12:06 | 990967   | Nothing Picked | 01545260   | PICKRECV   | RECV | A4724905  |         4 |         0
306203687302 | 13    | 005224       | BEARING ENGINEERING SERVICES PTY LT | 25/06/13 09:31 | 990002   | Nothing Picked | 04039962   | PICKRECV   | RECV | A4724540  |        10 |         0
306203689400 | 16    | 511098       | BLUEHAZE PTY LTD                    | 25/06/13 11:42 | 990883   | Nothing Picked | 01521252   | 43060401   | 26   | A4685439  |         1 |       263
306203695102 | 78    | 778075       | TELSTRA C&C MRP MS WA (C6X)         | 25/06/13 09:27 | 989911   | Nothing Picked | 00251396   | 26620101   | 07A  | A4718105  |         1 |        10
306203697202 | 11    | BT5141       | TOTAL FASTENERS (WETHERILL PARK)    | 25/06/13 10:07 | 990385   | Nothing Picked | 05999477   | PICKRECV   | RECV | A4724717  |         6 |         0
306203697801 | Q1    | 002595       | QANTAS HANGER 245                   | 25/06/13 09:41 | 990073   | Nothing Picked | 08157780   | CROSSDOC   | CRSS | A4722310  |         1 |         0
306203711501 | 21    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 09:41 |      0   | Nothing Picked | 03856151   |            |      | A4722316  |         1 |         0
